Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
www.googleadservices.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
assets.adobedtm.com,Functional Cookies,Performance Cookies [Requires consent],Adobe Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Adobe is a software company that provides its users with digital marketing and media solutions. Its tools and services allow its customers to create digital content, deploy it across media and devices and measure and optimize it over time.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html target=_blank aria-label=""Adobe Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
assets.adobedtm.com,Functional Cookies,Performance Cookies [Requires consent],Adobe Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Adobe is a software company that provides its users with digital marketing and media solutions. Its tools and services allow its customers to create digital content, deploy it across media and devices and measure and optimize it over time.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html target=_blank aria-label=""Adobe Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
cdn-scripts.signifyd.com,Functional Cookies,Performance Cookies [Requires consent],Signifyd,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.
<br><a href=https://www.signifyd.com/tos/ target=_blank aria-label=""Signifyd Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.signifyd.com/privacy/ target=_blank aria-label=""Signifyd Subject Rights"">Data Subject Rights</a>
<br>",
cdn.jsdelivr.net,Functional Cookies,Performance Cookies [Requires consent],Volentio JSD Limited,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"jsDelivr is a free, open-source content delivery network (CDN) that focuses primarily on delivering JavaScript, CSS, fonts, and other web-related files to users around the world. It provides developers and website owners with a fast and reliable way to host and serve their files by distributing them across multiple servers located in various geographic regions.",
code.jquery.com,Functional Cookies,Performance Cookies [Requires consent],jQuery,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"The jQuery Foundation is a non-profit trade association dedicated to supporting development of the jQuery Core, jQuery UI, and jQuery Mobile projects; providing jQuery documentation and support; and fostering the jQuery community.",
imgs.signifyd.com,Functional Cookies,Performance Cookies [Requires consent],Signifyd,HTTP Cookie,thx_guid,The cookie sets the Secure flag to prevent leaking if one of the pages loads mixed content.,FR Original,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.
<br><a href=https://www.signifyd.com/tos/ target=_blank aria-label=""Signifyd Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.signifyd.com/privacy/ target=_blank aria-label=""Signifyd Subject Rights"">Data Subject Rights</a>
<br>",1799
md-scp.kampyle.com,Functional Cookies,Performance Cookies [Requires consent],Medallia,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
nebula-cdn.kampyle.com,Functional Cookies,Performance Cookies [Requires consent],Medallia,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
pages.information.signify.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
pages.information.signify.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),HTTP Cookie,__cf_bm,Cloudflare's bot products identify and mitigate automated traffic to protect your site from bad bots. Cloudflare places the __cf_bm cookie on End User devices that access Customer sites that are protected by Bot Management or Bot Fight Mode. The __cf_bm cookie is necessary for the proper functioning of these bot solutions.,TrustArc ,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",0
use.fontawesome.com,Functional Cookies,Performance Cookies [Requires consent],Font Awesome,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A font and icon toolkit based on CSS and LESS.,
www.ambilightexperience.com,Functional Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.gearselectiontool.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Koninklijke CLIENT_X N.V.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
www.google-analytics.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
www.googletagmanager.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.CLIENT_X-hue.com,Functional Cookies,Performance Cookies [Requires consent],CLIENT_X Hue,HTTP Cookie,AWSELBCORS,"For continued stickiness support with CORS use cases after the Chromium update, we are creating additional stickiness cookies for each of these duration-based stickiness features named AWSELBCORS (ALB).",TrustArc ,"CLIENT_X Hue offers a range of smart light bulbs, lamps, fixtures and accessories.
<br><a href=https://www.CLIENT_X-hue.com/en-ph/support/legal/terms-conditions target=_blank aria-label=""CLIENT_X Hue Terms and Conditions"">Terms and Conditions</a>
<br>",0
yieldify-static-files.s3.amazonaws.com,Functional Cookies,Performance Cookies [Requires consent],Amazon (Web Services),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Amazon Web Services provides a reliable, scalable, low-cost infrastructure platform in the cloud with hundreds of thousands of businesses in 190 countries.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Web Services) Terms and Conditions"">Terms and Conditions</a>
<br>",
bing.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Microsoft Advertising,HTTP Cookie,MUID,To store and track visits across websites.,," The advertising division of Microsoft, offering ad solutions across its platforms.",389
c.bing.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Microsoft Advertising,HTTP Cookie,MR,Registers a unique ID that identifies the user's device during return visits across websites that use the same ad network. The ID is used to allow targeted ads.,TrustArc ," The advertising division of Microsoft, offering ad solutions across its platforms.",6
cdn.navdmp.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Navegg,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides data-driven marketing and audience segmentation solutions.,
navdmp.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Navegg,HTTP Cookie,nid, Tracks a unique identifier from Google for user preferences.,, Provides data-driven marketing and audience segmentation solutions.,719
plugins.soclminer.com.br,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Social Miner,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides customer engagement solutions for e-commerce.,
plugins.soclminer.com.br,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Social Miner,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides customer engagement solutions for e-commerce.,
secure.afilio.com.br,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Afilio,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,Marketing and affiliate marketing company,
secure.afilio.com.br,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Afilio,HTTP Cookie,AWSALBCORS,This cookie is managed by AWS and is used for load balancing.,TrustArc ,Marketing and affiliate marketing company,6
static.socialminer.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Social Miner,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides customer engagement solutions for e-commerce.,
static.socialminer.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Social Miner,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides customer engagement solutions for e-commerce.,
tag.navdmp.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Navegg,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides data-driven marketing and audience segmentation solutions.,
tag.navdmp.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Navegg,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides data-driven marketing and audience segmentation solutions.,
tracking.channelsight.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],ChannelSight,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"ChannelSight's B2B SaaS eCommerce platform enables brands, publishers and broadcasters to generate new revenue streams from digital content.
<br><a href=https://www.channelsight.com/terms/ target=_blank aria-label=""ChannelSight Terms and Conditions"">Terms and Conditions</a>
<br>",
usr.navdmp.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Navegg,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides data-driven marketing and audience segmentation solutions.,
www.googleadservices.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
www.youtube.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
activity-flow.vtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
activity-flow.vtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
api-cdn.mypurecloud.de,Functional Cookies,Performance Cookies [Requires consent],Genesys,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Genesys is the global leader in cloud customer experience and contact center solutions.
<br><a href=https://help.mypurecloud.com/articles/global-genesys-cloud-service-terms-and-conditions/ target=_blank aria-label=""Genesys Cloud Services terms and conditions"">Terms and Conditions</a>
<br><a href=https://www.genesys.com/company/legal/privacy-policy target=_blank aria-label=""Genesys - Data Subject Rights"">Data Subject Rights</a>
<br>",
api.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, Provides personalization and marketing automation services for e-commerce.,
api.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,Technology and app development company.,
api.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Technology and app development company.,
apps.bazaarvoice.com,Functional Cookies,Performance Cookies [Requires consent],"Bazaarvoice, Inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides user-generated content solutions, including reviews and ratings for online retailers.",
apps.bazaarvoice.com,Functional Cookies,Performance Cookies [Requires consent],"Bazaarvoice, Inc.",ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," Provides user-generated content solutions, including reviews and ratings for online retailers.",
apps.mypurecloud.de,Functional Cookies,Performance Cookies [Requires consent],Genesys,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Genesys is the global leader in cloud customer experience and contact center solutions.
<br><a href=https://help.mypurecloud.com/articles/global-genesys-cloud-service-terms-and-conditions/ target=_blank aria-label=""Genesys Cloud Services terms and conditions"">Terms and Conditions</a>
<br><a href=https://www.genesys.com/company/legal/privacy-policy target=_blank aria-label=""Genesys - Data Subject Rights"">Data Subject Rights</a>
<br>",
apps.mypurecloud.de,Functional Cookies,Performance Cookies [Requires consent],Genesys,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Genesys is the global leader in cloud customer experience and contact center solutions.
<br><a href=https://help.mypurecloud.com/articles/global-genesys-cloud-service-terms-and-conditions/ target=_blank aria-label=""Genesys Cloud Services terms and conditions"">Terms and Conditions</a>
<br><a href=https://www.genesys.com/company/legal/privacy-policy target=_blank aria-label=""Genesys - Data Subject Rights"">Data Subject Rights</a>
<br>",
c.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
c.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,HTTP Cookie,ANONCHK,Used to store session ID for a users session to ensure that clicks from adverts on the Bing search engine are verified for reporting purposes and for personalisation,TrustArc ,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",0
c.la1-c2-par.salesforceliveagent.com,Functional Cookies,Performance Cookies [Requires consent],"salesforce.com, inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Salesforce.com is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.
<br><a href=https://www.salesforce.com/company/privacy/ target=_blank aria-label=""salesforce.com, inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/ target=_blank aria-label=""salesforce.com, inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
cdnjs.cloudflare.com,Functional Cookies,Performance Cookies [Requires consent],Cloudflare,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.
<br><a href=https://www.cloudflare.com/website-terms/ target=_blank aria-label=""Cloudflare Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.cloudflare.com/privacypolicy/ target=_blank aria-label=""Cloudflare Data Subject Rights"">Data Subject Rights</a>
<br>",
chat.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Technology and app development company.,
clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,HTTP Cookie,MUID,To store and track visits across websites.,TrustArc ,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",389
d.la1-c2-par.salesforceliveagent.com,Functional Cookies,Performance Cookies [Requires consent],"salesforce.com, inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Salesforce.com is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.
<br><a href=https://www.salesforce.com/company/privacy/ target=_blank aria-label=""salesforce.com, inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/ target=_blank aria-label=""salesforce.com, inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
d.la2-c2-cdg.salesforceliveagent.com,Functional Cookies,Performance Cookies [Requires consent],"salesforce.com, inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Salesforce.com is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.
<br><a href=https://www.salesforce.com/company/privacy/ target=_blank aria-label=""salesforce.com, inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/ target=_blank aria-label=""salesforce.com, inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
display.ugc.bazaarvoice.com,Functional Cookies,Performance Cookies [Requires consent],"Bazaarvoice, Inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," Provides user-generated content solutions, including reviews and ratings for online retailers.",
gallery.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides personalization and marketing automation services for e-commerce.,
gtwdev.synapcom.com.br,Functional Cookies,Performance Cookies [Requires consent],Synapcom Full Commerce,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Offers comprehensive e-commerce solutions.,
io.vtex.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
io.vtex.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
io.vtexpayments.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
io2.vtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
io2.vtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
js-agent.newrelic.com,Functional Cookies,Performance Cookies [Requires consent],New Relic Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Offers a suite of tools for monitoring and managing the performance of web applications and infrastructure.,
js-agent.newrelic.com,Functional Cookies,Performance Cookies [Requires consent],New Relic Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Offers a suite of tools for monitoring and managing the performance of web applications and infrastructure.,
logo.flix360.io,Functional Cookies,Performance Cookies [Requires consent],Flix360.com,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Provides video streaming or media-related services.,
master--CLIENT_Xcl.myvtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
master--CLIENT_Xcl.myvtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
mcdn.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, Provides personalization and marketing automation services for e-commerce.,
mcdn.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides personalization and marketing automation services for e-commerce.,
mcdn.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides personalization and marketing automation services for e-commerce.,
CLIENT_Xcl.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
CLIENT_Xcl.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
CLIENT_Xcl.vteximg.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
CLIENT_Xmx.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
raw.githubusercontent.com,Functional Cookies,Performance Cookies [Requires consent],GitHub Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"GitHub Inc. is a web-based platform and company that provides hosting for software development and version control using Git. It offers a wide range of collaboration and project management tools for software development teams, including source code hosting, issue tracking, code review, and continuous integration/continuous deployment (CI/CD) pipelines.",
retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,HTTP Cookie,rcuid, Tracks a unique identifier for user recency data.,TrustArc, Provides personalization and marketing automation services for e-commerce.,365
rrstatic.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides personalization and marketing automation services for e-commerce.,
rrstatic.retailrocket.net,Functional Cookies,Performance Cookies [Requires consent],Retail Rocket LLC,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides personalization and marketing automation services for e-commerce.,
snappychat.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,Technology and app development company.,
snappychat.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Technology and app development company.,
sp.vtex.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
static.biggylabs.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
static.biggylabs.com.br,Functional Cookies,Performance Cookies [Requires consent],VTEX,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
storage.googleapis.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
storage.googleapis.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
storage.snappylabs.io,Functional Cookies,Performance Cookies [Requires consent],Snappy Labs,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Technology and app development company.,
tracking.krip.cl,Functional Cookies,Performance Cookies [Requires consent],Krip,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,Tech and marketing company.,
tracking.krip.cl,Functional Cookies,Performance Cookies [Requires consent],Krip,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,Tech and marketing company.,
